BTS_ID,TPS_ID,Similarity,TPS_title,BTS_final,,final,
1,1,1,1,categary,target population,categary,target population
99000001,24070078,0.886891586,00_Rejecting an intergroup apology attenuates perceived differences between victim and perpetrator groups in morality and power,3,,3,
99000001,24070017,0.882174727,00_Divergent effects of warmth and competence social rejection: An explanation based on the need-threat model,3,,3,
99000002,24030068,0.86226116,00_Familiarity Alters the Bandwidth of Perceptual Awareness,3,,3,
99000002,24030049,0.858685418,00_Auditory Processing of Intonational Rises and Falls in German: Rises Are Special in Attention Orienting,3,,3,
99000003,24070042,0.877286035,00_Reminders undermine impressions of genuine gratitude,3,,3,
99000003,24090054,0.86934171,00_Proenvironmental Behavior Increases Subjective Well-Being: Evidence From an Experience-Sampling Study and a Randomized Experiment,3,,3,
99000004,24050069,0.884574968,00_Collectives closer to the self are anticipated to have a brighter future: Self-enhancement in collective cognition,3,,3,
99000004,24080024,0.880654589,00_An experimental test of whether financial incentives constitute undue inducement in decision-making,3,,3,
99000005,24090009,0.837130743,00_Mindful-Gratitude Practice Reduces Prejudice at High Levels of Collective Narcissism,3,,3,
99000005,24050016,0.809873295,00_A novel electroencephalography-based paradigm to measure intergroup prosociality: An intergenerational study in the aftermath of the genocide against Tutsis in Rwanda,3,,3,
99000006,24030002,0.880853172,00_Tomatoes Are Red: The Perception of Achromatic Objects Elicits Retrieval of Associated Color Knowledge,3,,3,
99000006,24030038,0.879109112,00_Expectation Modulates Repetition Suppression at Late But Not Early Stages during Visual Word Recognition: Evidence from Event-related Potentials,3,,3,
99000007,24030039,0.898967,00_Curiosity Satisfaction Increases Event-related Potentials Sensitive to Reward,3,,3,
99000007,24030078,0.898495295,00_Brain Stimulation of Dorsolateral Prefrontal Cortices Influences Impulsivity in Delay Discounting Choices,3,,3,
99000008,24050097,0.88184716,00_Exploring variability in risk taking with large language models,3,,3,
99000008,24050084,0.880357144,00_A general ability for judging simple and complex ensembles,3,,3,
99000009,24010080,0.859394718,00_Testing theories of the vocabulary spurt with monolingual and bilingual infants,1,infants/toddlers,1,infants/toddlers
