country,country_map,continent,GDP_per_capita,v2,bts1,bts,total_bts,percentage_sample,ps,total_ps,ps2014
AND,AD,Europe,41.99279336,21,1,0,11484,0,33,13646,0.002418291
ATG,AG,North America,18.74517351,10,1,0,11484,0,0,13646,0
ARM,AM,Asia,7.01420659,7.01420659,1,0,11484,0,0,13646,0
AGO,AO,Africa,2.99850116,2.99850116,1,0,11484,0,0,13646,0
AZE,AZ,Asia,7.73670123,7.73670123,1,0,11484,0,0,13646,0
BIH,BA,Europe,7.585375,5,1,0,11484,0,33,13646,0.002418291
BRB,BB,North America,20.01851515,20.01851515,1,0,11484,0,0,13646,0
BGD,BD,Asia,2.68830395,2.68830395,1,0,11484,0,0,13646,0
BFA,BF,Africa,0.83288427,0.83288427,1,0,11484,0,0,13646,0
BGR,BG,Europe,13.77247679,13.77247679,1,0,11484,0,33,13646,0.002418291
BHR,BH,Asia,30.15203468,30.15203468,1,0,11484,0,0,13646,0
BDI,BI,Africa,0.23844188,0.23844188,1,0,11484,0,0,13646,0
BEN,BJ,Africa,1.30322201,1.30322201,1,0,11484,0,0,13646,0
BMU,BM,North America,118.8456211,118.8456211,1,0,11484,0,0,13646,0
BRN,BN,Asia,37.15246624,23,1,0,11484,0,0,13646,0
BOL,BO,South America,3.52327373,3.52327373,1,0,11484,0,0,13646,0
BHS,BS,North America,31.45830081,22,1,0,11484,0,0,13646,0
BWA,BW,Africa,7.73765468,7.73765468,1,0,11484,0,0,13646,0
BLR,BY,Europe,7.90485624,7.90485624,1,0,11484,0,33,13646,0.002418291
BLZ,BZ,North America,6.96836159,6.96836159,1,0,11484,0,0,13646,0
COD,CD,Africa,0.58646429,0.58646429,1,0,11484,0,0,13646,0
CAF,CF,Africa,0.4270581,0.4270581,1,0,11484,0,0,13646,0
COG,CG,Africa,2.44798899,2.44798899,1,0,11484,0,0,13646,0
CIV,CI,Africa,2.48641219,2.48641219,1,0,11484,0,0,13646,0
CMR,CM,Africa,1.58847872,1.58847872,1,0,11484,0,0,13646,0
CRI,CR,North America,13.19882172,13.19882172,1,0,11484,0,0,13646,0
CPV,CV,Africa,3.90258905,3.90258905,1,0,11484,0,0,13646,0
CYP,CY,Asia,31.28350586,22,1,0,11484,0,0,13646,0
CZE,CZ,Europe,27.63837328,27.63837328,1,0,11484,0,33,13646,0.002418291
DJI,DJ,Africa,3.13611296,3.13611296,1,0,11484,0,0,13646,0
DMA,DM,North America,8.41453659,8.41453659,1,0,11484,0,0,13646,0
DOM,DO,North America,10.12055116,10.12055116,1,0,11484,0,0,13646,0
DZA,DZ,Africa,4.27392218,4.27392218,1,0,11484,0,0,13646,0
EST,EE,Europe,28.33262909,28.33262909,1,0,11484,0,33,13646,0.002418291
EGY,EG,Africa,4.2954075,4.2954075,1,0,11484,0,0,13646,0
ETH,ET,Africa,1.02758592,1.02758592,1,0,11484,0,0,13646,0
