country1,National Members,country_map,continent,pop,number_of_psychology_researchers_per_capita,bts,total_bts,percentage_sample,ps,total_ps
Albania,950,AL,Europe,2854.71,33.2783365,0,11484,0,33,13646
Argentina,550,AR,South America,45276.78,1.214750696,91,11484,0.007926139,0,13646
Austria,5000,AT,Europe,8922.082,56.0407313,236,11484,0.020555701,33,13646
Australia,24000,AU,Oceania,25921.089,92.58870258,885,11484,0.077083878,0,13646
Bangladesh,1000,BD,Asia,169356.251,0.590471266,0,11484,0,0,13646
Belgium,300,BE,Europe,11611.419,2.583663547,86,11484,0.007490637,125,13646
Bulgaria,700,BG,Europe,6885.868,10.16574817,0,11484,0,33,13646
Botswana,98,BW,Africa,2588.423,3.786089059,0,11484,0,0,13646
Canada,6850,CA,North America,38155.012,17.95308045,630,11484,0.054873269,0,13646
Switzerland,320,CH,Europe,8691.406,3.681797859,109,11484,0.009493947,54,13646
Chile,3218,CL,South America,19493.184,16.5083344,430,11484,0.037453184,0,13646
China,6000,CN,Asia,1425893.465,0.4207888,316,11484,0.027523735,0,13646
Cuba,2224,CU,North America,11256.372,19.75769813,0,11484,0,0,13646
Cyprus,327,CY,Asia,1244.188,26.28220173,0,11484,0,0,13646
Czechia,687,CZ,Europe,10510.751,6.536164733,0,11484,0,33,13646
Germany,17500,DE,Europe,83408.554,20.98106149,266,11484,0.023168714,192,13646
Denmark,7163,DK,Europe,5854.24,122.3557627,92,11484,0.008013239,33,13646
Dominican Republic,153,DO,North America,11117.873,1.376162509,0,11484,0,0,13646
Estonia,124,EE,Europe,1328.701,9.332423171,0,11484,0,33,13646
Egypt,1500,EG,Africa,109262.178,1.372844682,0,11484,0,0,13646
Spain,30000,ES,Europe,47486.935,63.17527126,270,11484,0.023517115,33,13646
Finland,1500,FI,Europe,5535.992,27.09541488,46,11484,0.00400662,33,13646
France,7000,FR,Europe,64531.444,10.84742502,211,11484,0.01837819,33,13646
United Kingdom,49300,GB,Europe,67281.039,73.27473049,361,11484,0.031443254,483,13646
Georgia,94,GE,Asia,3757.98,2.501343807,0,11484,0,0,13646
Greece,700,GR,Europe,10445.365,6.701536998,99,11484,0.008622942,33,13646
"China, Hong Kong SAR",3000,HK,Asia,7494.578,40.02893825,0,11484,0,0,13646
Hungary,1300,HU,Europe,9709.786,13.3885546,174,11484,0.015155474,33,13646
Indonesia,11514,ID,Asia,273753.191,4.20597837,0,11484,0,0,13646
Ireland,3800,IE,Europe,4986.526,76.2053582,0,11484,0,33,13646
Israel,4100,IL,Asia,8900.059,46.06711034,0,11484,0,0,13646
India,435,IN,Asia,1407563.842,0.03090446,0,11484,0,0,13646
Italy,80000,IT,Europe,59240.329,135.0431393,153,11484,0.013326365,33,13646
Jordan,650,JO,Asia,11148.278,5.830496871,0,11484,0,0,13646
Japan,8000,JP,Asia,124612.53,6.41990015,0,11484,0,0,13646
Dem. People's Republic of Korea,23220,KP,Asia,25971.909,89.40428676,0,11484,0,0,13646
Kazakhstan,7000,KZ,Asia,19196.465,36.46504708,0,11484,0,0,13646
Lithuania,601,LT,Europe,2786.651,21.5671069,0,11484,0,33,13646
Morocco,50,MA,Africa,37076.584,0.134856005,0,11484,0,0,13646
Mongolia,200,MN,Asia,3347.782,5.974104646,0,11484,0,0,13646
Malta,46,MT,Europe,526.748,8.732828601,0,11484,0,33,13646
Mexico,2000,MX,North America,126705.138,1.578467954,249,11484,0.021688006,0,13646
Mozambique,181,MZ,Africa,32077.072,0.564265965,0,11484,0,0,13646
Netherlands,17000,NL,Europe,17501.696,97.13344352,356,11484,0.031007752,33,13646
Norway,10230,NO,Europe,5403.021,189.3385201,363,11484,0.031617455,33,13646
New Zealand,1100,NZ,Oceania,5129.727,21.44363628,159,11484,0.013848968,0,13646
Panama,350,PA,North America,4351.267,8.043634187,0,11484,0,0,13646
Philippines,1500,PH,Asia,113880.328,1.317172181,0,11484,0,0,13646
Pakistan,346,PK,Asia,231402.117,0.149523265,0,11484,0,0,13646
Poland,4100,PL,Europe,38307.726,10.70280183,36,11484,0.003135615,33,13646
Portugal,300,PT,Europe,10290.103,2.915422712,0,11484,0,33,13646
Russian Federation,5400,RU,Europe,145102.755,3.72150067,240,11484,0.020904102,33,13646
Sudan,400,SD,Africa,45657.202,0.876093984,0,11484,0,0,13646
Sweden,12000,SE,Europe,10467.097,114.6449679,152,11484,0.013239265,33,13646
Singapore,1020,SG,Asia,5941.06,17.16865341,0,11484,0,0,13646
Turkey,4830,TR,Asia,84775.404,5.697407234,286,11484,0.024910722,0,13646
Ukraine,200,UA,Europe,43531.422,0.459438242,0,11484,0,33,13646
United States of America,114000,US,North America,336997.624,33.82813168,2682,11484,0.233603345,6189,13646
Uruguay,91,UY,South America,3426.26,2.655957224,0,11484,0,0,13646
Viet Nam,1000,VN,Asia,97468.029,1.025977452,0,11484,0,0,13646
South Africa,1337,ZA,Africa,59392.255,2.25113527,130,11484,0.011323055,6570,13646
Zimbabwe,200,ZW,Africa,15993.524,1.250506142,0,11484,0,0,13646
