country_map,continent,lp1,lp2,bts,total_bts,percentage_sample,ps,total_ps,ps2014
AD,Europe,1.99256742,1.241091728,0,11484,0,33,13646,0.002418291
AE,Asia,NA,0.740553677,80,11484,0.006968034,0,13646,0
AF,Asia,1.945866466,0.855147123,0,11484,0,0,13646,0
AG,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
AI,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
AL,Europe,1.945866466,0.910201788,0,11484,0,33,13646,0.002418291
AM,Asia,1.945866466,0.648080111,0,11484,0,0,13646,0
AO,Africa,2.529626608,1.310184479,0,11484,0,0,13646,0
AR,South America,1.653986573,0.994091094,91,11484,0.007926139,0,13646,0
AT,Europe,3.599853039,2.588921547,236,11484,0.020555701,33,13646,0.002418291
AU,Oceania,0.291880161,0.17542778,885,11484,0.077083878,0,13646,0
AW,North America,2.237746716,1.677104115,0,11484,0,0,13646,0
AZ,Asia,NA,0.65670687,0,11484,0,0,13646,0
BA,Europe,1.945866466,1.44628942,0,11484,0,33,13646,0.002418291
BB,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
BD,Asia,1.945866466,0.885723591,0,11484,0,0,13646,0
BE,Europe,3.014147282,2.240689516,86,11484,0.007490637,125,13646,0.009160193
BG,Europe,1.945866466,1.246608853,0,11484,0,33,13646,0.002418291
BH,Asia,NA,0.740553677,0,11484,0,0,13646,0
BI,Africa,NA,0.48969382,0,11484,0,0,13646,0
BM,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
BN,Asia,NA,0.667968869,0,11484,0,0,13646,0
BO,South America,0.893152773,0.798174739,0,11484,0,0,13646,0
BR,South America,2.529626608,1.310184479,201,11484,0.017507186,0,13646,0
BS,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
BT,Asia,0.875639915,0.49806118,0,11484,0,0,13646,0
BY,Europe,1.945866466,1.301940322,0,11484,0,33,13646,0.002418291
BZ,North America,1.202545524,0.953990996,0,11484,0,0,13646,0
CA,North America,0.875640035,0.548786044,630,11484,0.054873269,0,13646,0
CH,Europe,3.245705366,2.284990072,109,11484,0.009493947,54,13646,0.003957204
CL,South America,1.653986573,0.994091094,430,11484,0.037453184,0,13646,0
CN,Asia,NA,0.423398077,316,11484,0.027523735,0,13646,0
