country_map,continent,lp1,lp2,bts,total_bts,percentage_sample,ps,total_ps,ps2014
CO,South America,1.653986573,0.994091094,446,11484,0.03884679,0,13646,0
CR,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
CU,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
CV,Africa,0.291880161,0.17542778,0,11484,0,0,13646,0
CY,Asia,1.537234545,0.840483963,0,11484,0,0,13646,0
CZ,Europe,1.945866466,1.248223543,0,11484,0,33,13646,0.002418291
DE,Europe,3.599853039,2.588921547,266,11484,0.023168714,192,13646,0.014070057
DK,Europe,3.599853039,2.769364119,92,11484,0.008013239,33,13646,0.002418291
DM,North America,2.237746716,1.419954538,0,11484,0,0,13646,0
DO,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
DZ,Africa,NA,0.740553677,0,11484,0,0,13646,0
EC,South America,1.653986573,0.994091094,105,11484,0.009145545,0,13646,0
EE,Europe,0.330797315,0.687137902,0,11484,0,33,13646,0.002418291
EG,Africa,NA,0.740553677,0,11484,0,0,13646,0
ER,Africa,NA,0.631931067,0,11484,0,0,13646,0
ES,Europe,1.653986573,0.994091094,270,11484,0.023517115,33,13646,0.002418291
FI,Europe,NA,0.331816733,46,11484,0.00400662,33,13646,0.002418291
FJ,Oceania,0.972933233,0.7052387,0,11484,0,0,13646,0
FK,South America,0.291880161,0.17542778,0,11484,0,0,13646,0
FR,Europe,2.237746716,1.419954538,211,11484,0.01837819,33,13646,0.002418291
GB,Europe,0.291880161,0.17542778,361,11484,0.031443254,483,13646,0.035394988
GD,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
GE,Asia,NA,0.246737778,0,11484,0,0,13646,0
GI,Europe,0.84839797,0.651216567,0,11484,0,33,13646,0.002418291
GL,North America,3.599853039,2.769364119,0,11484,0,0,13646,0
GR,Europe,1.945866466,0.88933605,99,11484,0.008622942,33,13646,0.002418291
GT,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
GY,South America,0.291880161,0.17542778,0,11484,0,0,13646,0
HK,Asia,NA,0.423398077,0,11484,0,0,13646,0
HN,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
HR,Europe,1.945866466,1.475328088,0,11484,0,33,13646,0.002418291
HT,North America,2.237746716,1.152902842,0,11484,0,0,13646,0
HU,Europe,NA,0.447408885,174,11484,0.015155474,33,13646,0.002418291
ID,Asia,NA,0.605668187,0,11484,0,0,13646,0
IE,Europe,0.291880161,0.17542778,0,11484,0,33,13646,0.002418291
IL,Asia,0.252962619,0.756817997,0,11484,0,0,13646,0
IQ,Asia,NA,0.740553677,0,11484,0,0,13646,0
IR,Asia,1.401023865,0.917003274,48,11484,0.00418082,0,13646,0
IS,Europe,3.599853039,2.769364119,0,11484,0,33,13646,0.002418291
IT,Europe,2.237746716,1.752706528,153,11484,0.013326365,33,13646,0.002418291
JM,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
JO,Asia,NA,0.740553677,0,11484,0,0,13646,0
JP,Asia,NA,0.54782933,0,11484,0,0,13646,0
KE,Africa,NA,0.439292192,347,11484,0.030223848,0,13646,0
KG,Asia,0.525383949,0.753145635,0,11484,0,0,13646,0
KH,Asia,NA,0.248522788,0,11484,0,0,13646,0
KI,Oceania,NA,1.020269513,0,11484,0,0,13646,0
KM,Africa,NA,0.594746172,0,11484,0,0,13646,0
KN,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
KW,Asia,NA,0.740553677,0,11484,0,0,13646,0
KY,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
KZ,Asia,0.797805309,0.895151198,0,11484,0,0,13646,0
LA,Asia,NA,0.428497791,0,11484,0,0,13646,0
LB,Asia,NA,0.740553677,0,11484,0,0,13646,0
LC,North America,2.237746716,1.419954538,0,11484,0,0,13646,0
LK,Asia,1.945866466,0.868963122,0,11484,0,0,13646,0
LT,Europe,1.945866466,1.179760814,0,11484,0,33,13646,0.002418291
LU,Europe,3.014147282,2.240689516,0,11484,0,33,13646,0.002418291
LV,Europe,1.945866466,0.895948589,0,11484,0,33,13646,0.002418291
LY,Africa,NA,0.740553677,0,11484,0,0,13646,0
MA,Africa,NA,0.740553677,0,11484,0,0,13646,0
MD,Europe,2.237746716,1.957499385,0,11484,0,33,13646,0.002418291
MG,Africa,NA,0.849303663,0,11484,0,0,13646,0
MH,Oceania,0.291880161,0.17542778,0,11484,0,0,13646,0
MK,Europe,1.945866466,1.246608853,0,11484,0,33,13646,0.002418291
MR,Africa,NA,0.740553677,0,11484,0,0,13646,0
MS,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
MT,Europe,NA,0.587564468,0,11484,0,33,13646,0.002418291
MU,Africa,2.237746716,1.082442522,0,11484,0,0,13646,0
MW,Africa,NA,0.318430543,0,11484,0,0,13646,0
MX,North America,1.653986573,0.994091094,249,11484,0.021688006,0,13646,0
MY,Asia,NA,0.587260544,281,11484,0.02447522,0,13646,0
NC,Oceania,2.237746716,1.419954538,0,11484,0,0,13646,0
NI,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
NL,Europe,3.599853039,2.859840155,356,11484,0.031007752,33,13646,0.002418291
NO,Europe,3.599853039,3.360413074,363,11484,0.031617455,33,13646,0.002418291
NP,Asia,1.945866466,0.634608448,0,11484,0,0,13646,0
NR,Oceania,NA,0.912497044,0,11484,0,0,13646,0
NU,Oceania,NA,0.362967104,0,11484,0,0,13646,0
NZ,Oceania,0.291880161,0.17542778,159,11484,0.013848968,0,13646,0
OM,Asia,NA,0.740553677,0,11484,0,0,13646,0
PA,North America,1.653986573,0.994091094,0,11484,0,0,13646,0
PE,South America,1.653986573,0.994091094,115,11484,0.010016549,0,13646,0
PH,Asia,NA,0.408566475,0,11484,0,0,13646,0
PK,Asia,1.945866466,0.438612342,0,11484,0,0,13646,0
PL,Europe,1.945866466,1.062001467,36,11484,0.003135615,33,13646,0.002418291
PM,North America,2.237746716,1.419954538,0,11484,0,0,13646,0
PT,Europe,2.529626608,1.310184479,0,11484,0,33,13646,0.002418291
PW,Oceania,NA,0.788022816,0,11484,0,0,13646,0
PY,South America,NA,0.619947255,0,11484,0,0,13646,0
QA,Asia,NA,0.740553677,0,11484,0,0,13646,0
RO,Europe,2.237746716,1.957499385,27,11484,0.002351712,33,13646,0.002418291
RU,Europe,1.945866466,1.301940322,240,11484,0.020904102,33,13646,0.002418291
RW,Africa,NA,0.48969382,0,11484,0,0,13646,0
SA,Asia,NA,0.740553677,0,11484,0,0,13646,0
SC,Africa,2.237746716,0.871104777,0,11484,0,0,13646,0
SD,Africa,NA,0.740553677,0,11484,0,0,13646,0
SE,Europe,3.599853039,3.133818865,152,11484,0.013239265,33,13646,0.002418291
SG,Asia,0.070051216,0.363885194,0,11484,0,0,13646,0
SH,Africa,0.291880161,0.17542778,0,11484,0,0,13646,0
SI,Europe,1.945866466,1.301600099,0,11484,0,33,13646,0.002418291
SK,Europe,1.945866466,1.168838978,263,11484,0.022907412,33,13646,0.002418291
SN,Africa,NA,0.569460273,0,11484,0,0,13646,0
SO,Africa,NA,0.316645384,0,11484,0,0,13646,0
SR,South America,2.012025833,1.571322322,0,11484,0,0,13646,0
ST,Africa,2.529626608,1.310184479,0,11484,0,0,13646,0
SV,North America,1.653986573,0.994091094,89,11484,0.007751938,0,13646,0
SY,Asia,NA,0.740553677,0,11484,0,0,13646,0
TC,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
TH,Asia,NA,0.60061115,183,11484,0.015939378,0,13646,0
TJ,Asia,1.945866466,1.018229604,0,11484,0,0,13646,0
TM,Asia,NA,0.65670687,0,11484,0,0,13646,0
TN,Africa,NA,0.740553677,0,11484,0,0,13646,0
TO,Oceania,NA,0.577067614,0,11484,0,0,13646,0
TR,Asia,NA,0.65670687,286,11484,0.024910722,0,13646,0
TT,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
TV,Oceania,NA,0.627171457,0,11484,0,0,13646,0
TW,Asia,NA,0.423398077,0,11484,0,0,13646,0
TZ,Africa,NA,0.439292192,0,11484,0,0,13646,0
UA,Europe,1.945866466,0.957577825,0,11484,0,33,13646,0.002418291
US,NA,0,0,2682,11484,0.233603345,6189,13646,0.453539499
UY,South America,1.653986573,0.994091094,0,11484,0,0,13646,0
UZ,Asia,0.311338663,0.855006754,0,11484,0,0,13646,0
VC,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
VE,South America,1.653986573,0.994091094,0,11484,0,0,13646,0
VG,North America,0.291880161,0.17542778,0,11484,0,0,13646,0
VN,Asia,NA,0.248947829,0,11484,0,0,13646,0
YE,Asia,NA,0.740553677,0,11484,0,0,13646,0
ZW,Africa,NA,0.532573044,0,11484,0,0,13646,0
