country_map,continent,lp1,lp2,n,percentage_sample,ps2014
AW,North America,2.237746716,1.677104115,NA,0,0
AF,Asia,1.945866466,0.855147123,NA,0,0
AO,Africa,2.529626608,1.310184479,NA,0,0
AI,North America,0.291880161,0.17542778,NA,0,0
AL,Europe,1.945866466,0.910201788,NA,0,0.000216
AD,Europe,1.99256742,1.241091728,NA,0,0.000216
AE,Asia,NA,0.740553677,80,0.006968034,0
AR,South America,1.653986573,0.994091094,91,0.007926139,0
AM,Asia,1.945866466,0.648080111,NA,0,0
AG,North America,0.291880161,0.17542778,NA,0,0
AU,Oceania,0.291880161,0.17542778,885,0.077083878,0
AT,Europe,3.599853039,2.588921547,236,0.020555701,0.000216
AZ,Asia,NA,0.65670687,NA,0,0
BI,Africa,NA,0.48969382,NA,0,0
BD,Asia,1.945866466,0.885723591,NA,0,0
BG,Europe,1.945866466,1.246608853,NA,0,0.000216
BH,Asia,NA,0.740553677,NA,0,0
BS,North America,0.291880161,0.17542778,NA,0,0
BA,Europe,1.945866466,1.44628942,NA,0,0.000216
BY,Europe,1.945866466,1.301940322,NA,0,0.000216
BE,Europe,3.014147282,2.240689516,86,0.007490637,0.000819
BZ,North America,1.202545524,0.953990996,NA,0,0
BM,North America,0.291880161,0.17542778,NA,0,0
BO,South America,0.893152773,0.798174739,NA,0,0
BR,South America,2.529626608,1.310184479,201,0.017507186,0
BB,North America,0.291880161,0.17542778,NA,0,0
BN,Asia,NA,0.667968869,NA,0,0
BT,Asia,0.875639915,0.49806118,NA,0,0
CA,North America,0.875640035,0.548786044,630,0.054873269,0
CH,Europe,3.245705366,2.284990072,109,0.009493947,0.000354
CL,South America,1.653986573,0.994091094,430,0.037453184,0
CN,Asia,NA,0.423398077,316,0.027523735,0
CO,South America,1.653986573,0.994091094,446,0.03884679,0
KM,Africa,NA,0.594746172,NA,0,0
CV,Africa,0.291880161,0.17542778,NA,0,0
CR,North America,1.653986573,0.994091094,NA,0,0
CU,North America,1.653986573,0.994091094,NA,0,0
KY,North America,0.291880161,0.17542778,NA,0,0
CY,Asia,1.537234545,0.840483963,NA,0,0
CZ,Europe,1.945866466,1.248223543,NA,0,0.000216
DE,Europe,3.599853039,2.588921547,266,0.023168714,0.001257
DM,North America,2.237746716,1.419954538,NA,0,0
DK,Europe,3.599853039,2.769364119,92,0.008013239,0.000216
DO,North America,1.653986573,0.994091094,NA,0,0
DZ,Africa,NA,0.740553677,NA,0,0
EC,South America,1.653986573,0.994091094,105,0.009145545,0
EG,Africa,NA,0.740553677,NA,0,0
ER,Africa,NA,0.631931067,NA,0,0
ES,Europe,1.653986573,0.994091094,270,0.023517115,0.000216
EE,Europe,0.330797315,0.687137902,NA,0,0.000216
FI,Europe,NA,0.331816733,46,0.00400662,0.000216
FJ,Oceania,0.972933233,0.7052387,NA,0,0
FK,South America,0.291880161,0.17542778,NA,0,0
FR,Europe,2.237746716,1.419954538,211,0.01837819,0.000216
GB,Europe,0.291880161,0.17542778,361,0.031443254,0.003164
GE,Asia,NA,0.246737778,NA,0,0
GI,Europe,0.84839797,0.651216567,NA,0,0.000216
GR,Europe,1.945866466,0.88933605,99,0.008622942,0.000216
GD,North America,0.291880161,0.17542778,NA,0,0
GL,North America,3.599853039,2.769364119,NA,0,0
GT,North America,1.653986573,0.994091094,NA,0,0
GY,South America,0.291880161,0.17542778,NA,0,0
HK,Asia,NA,0.423398077,NA,0,0
HN,North America,1.653986573,0.994091094,NA,0,0
HR,Europe,1.945866466,1.475328088,NA,0,0.000216
HT,North America,2.237746716,1.152902842,NA,0,0
HU,Europe,NA,0.447408885,174,0.015155474,0.000216
ID,Asia,NA,0.605668187,NA,0,0
IE,Europe,0.291880161,0.17542778,NA,0,0.000216
IR,Asia,1.401023865,0.917003274,48,0.00418082,0
IQ,Asia,NA,0.740553677,NA,0,0
IS,Europe,3.599853039,2.769364119,NA,0,0.000216
IL,Asia,0.252962619,0.756817997,NA,0,0
IT,Europe,2.237746716,1.752706528,153,0.013326365,0.000216
JM,North America,0.291880161,0.17542778,NA,0,0
JO,Asia,NA,0.740553677,NA,0,0
JP,Asia,NA,0.54782933,NA,0,0
KZ,Asia,0.797805309,0.895151198,NA,0,0
KE,Africa,NA,0.439292192,347,0.030223848,0
KG,Asia,0.525383949,0.753145635,NA,0,0
KH,Asia,NA,0.248522788,NA,0,0
KI,Oceania,NA,1.020269513,NA,0,0
KN,North America,0.291880161,0.17542778,NA,0,0
KW,Asia,NA,0.740553677,NA,0,0
LA,Asia,NA,0.428497791,NA,0,0
LB,Asia,NA,0.740553677,NA,0,0
LY,Africa,NA,0.740553677,NA,0,0
LC,North America,2.237746716,1.419954538,NA,0,0
LK,Asia,1.945866466,0.868963122,NA,0,0
LT,Europe,1.945866466,1.179760814,NA,0,0.000216
LU,Europe,3.014147282,2.240689516,NA,0,0.000216
LV,Europe,1.945866466,0.895948589,NA,0,0.000216
MA,Africa,NA,0.740553677,NA,0,0
MD,Europe,2.237746716,1.957499385,NA,0,0.000216
MG,Africa,NA,0.849303663,NA,0,0
MX,North America,1.653986573,0.994091094,249,0.021688006,0
MH,Oceania,0.291880161,0.17542778,NA,0,0
MK,Europe,1.945866466,1.246608853,NA,0,0.000216
MT,Europe,NA,0.587564468,NA,0,0.000216
MR,Africa,NA,0.740553677,NA,0,0
MS,North America,0.291880161,0.17542778,NA,0,0
MU,Africa,2.237746716,1.082442522,NA,0,0
MW,Africa,NA,0.318430543,NA,0,0
MY,Asia,NA,0.587260544,281,0.02447522,0
NC,Oceania,2.237746716,1.419954538,NA,0,0
NI,North America,1.653986573,0.994091094,NA,0,0
NU,Oceania,NA,0.362967104,NA,0,0
NL,Europe,3.599853039,2.859840155,356,0.031007752,0.000216
NO,Europe,3.599853039,3.360413074,363,0.031617455,0.000216
NP,Asia,1.945866466,0.634608448,NA,0,0
NR,Oceania,NA,0.912497044,NA,0,0
NZ,Oceania,0.291880161,0.17542778,159,0.013848968,0
OM,Asia,NA,0.740553677,NA,0,0
PK,Asia,1.945866466,0.438612342,NA,0,0
PA,North America,1.653986573,0.994091094,NA,0,0
PE,South America,1.653986573,0.994091094,115,0.010016549,0
PH,Asia,NA,0.408566475,NA,0,0
PW,Oceania,NA,0.788022816,NA,0,0
PL,Europe,1.945866466,1.062001467,36,0.003135615,0.000216
PT,Europe,2.529626608,1.310184479,NA,0,0.000216
PY,South America,NA,0.619947255,NA,0,0
QA,Asia,NA,0.740553677,NA,0,0
RO,Europe,2.237746716,1.957499385,27,0.002351712,0.000216
RU,Europe,1.945866466,1.301940322,240,0.020904102,0.000216
RW,Africa,NA,0.48969382,NA,0,0
SA,Asia,NA,0.740553677,NA,0,0
SD,Africa,NA,0.740553677,NA,0,0
SN,Africa,NA,0.569460273,NA,0,0
SG,Asia,0.070051216,0.363885194,NA,0,0
SH,Africa,0.291880161,0.17542778,NA,0,0
SV,North America,1.653986573,0.994091094,89,0.007751938,0
SO,Africa,NA,0.316645384,NA,0,0
PM,North America,2.237746716,1.419954538,NA,0,0
ST,Africa,2.529626608,1.310184479,NA,0,0
SR,South America,2.012025833,1.571322322,NA,0,0
SK,Europe,1.945866466,1.168838978,263,0.022907412,0.000216
SI,Europe,1.945866466,1.301600099,NA,0,0.000216
SE,Europe,3.599853039,3.133818865,152,0.013239265,0.000216
SC,Africa,2.237746716,0.871104777,NA,0,0
SY,Asia,NA,0.740553677,NA,0,0
TC,North America,0.291880161,0.17542778,NA,0,0
TH,Asia,NA,0.60061115,183,0.015939378,0
TJ,Asia,1.945866466,1.018229604,NA,0,0
TM,Asia,NA,0.65670687,NA,0,0
TO,Oceania,NA,0.577067614,NA,0,0
TT,North America,0.291880161,0.17542778,NA,0,0
TN,Africa,NA,0.740553677,NA,0,0
TR,Asia,NA,0.65670687,286,0.024910722,0
TV,Oceania,NA,0.627171457,NA,0,0
TW,Asia,NA,0.423398077,NA,0,0
TZ,Africa,NA,0.439292192,NA,0,0
UA,Europe,1.945866466,0.957577825,NA,0,0.000216
