country,country_map,continent,GDP_per_capita,n,percentage_sample,ps2014
AGO,AO,Africa,0.299850116,NA,0,0
AND,AD,Europe,4.199279336,NA,0,0.000216
ARE,AE,Asia,5.375786325,80,0.006968034,0
ARG,AR,South America,1.368600867,91,0.007926139,0
ARM,AM,Asia,0.701420659,NA,0,0
ATG,AG,North America,1.874517351,NA,0,0
AUS,AU,Oceania,6.449142989,885,0.077083878,0
AUT,AT,Europe,5.213144666,236,0.020555701,0.000216
AZE,AZ,Asia,0.773670123,NA,0,0
BDI,BI,Africa,0.023844188,NA,0,0
BEL,BE,Europe,4.958282536,86,0.007490637,0.000819
BEN,BJ,Africa,0.130322201,NA,0,0
BFA,BF,Africa,0.083288427,NA,0,0
BGD,BD,Asia,0.268830395,NA,0,0
BGR,BG,Europe,1.377247679,NA,0,0.000216
BHR,BH,Asia,3.015203468,NA,0,0
BHS,BS,North America,3.145830081,NA,0,0
BIH,BA,Europe,0.7585375,NA,0,0.000216
BLR,BY,Europe,0.790485624,NA,0,0.000216
BLZ,BZ,North America,0.696836159,NA,0,0
BMU,BM,North America,11.88456211,NA,0,0
BOL,BO,South America,0.352327373,NA,0,0
BRA,BR,South America,0.89176739,201,0.017507186,0
BRB,BB,North America,2.001851515,NA,0,0
BRN,BN,Asia,3.715246624,NA,0,0
BWA,BW,Africa,0.773765468,NA,0,0
CAF,CF,Africa,0.04270581,NA,0,0
CAN,CA,North America,5.496648884,630,0.054873269,0
CHE,CH,Europe,9.210146974,109,0.009493947,0.000354
CHL,CL,South America,1.53555065,430,0.037453184,0
CHN,CN,Asia,1.272021564,316,0.027523735,0
CIV,CI,Africa,0.248641219,NA,0,0
CMR,CM,Africa,0.158847872,NA,0,0
COD,CD,Africa,0.058646429,NA,0,0
COG,CG,Africa,0.244798899,NA,0,0
COL,CO,South America,0.663028273,446,0.03884679,0
COM,KM,Africa,0.148489247,NA,0,0
CPV,CV,Africa,0.390258905,NA,0,0
CRI,CR,North America,1.319882172,NA,0,0
CYP,CY,Asia,3.128350586,NA,0,0
CZE,CZ,Europe,2.763837328,NA,0,0.000216
DEU,DE,Europe,4.843245587,266,0.023168714,0.001257
DJI,DJ,Africa,0.313611296,NA,0,0
DMA,DM,North America,0.841453659,NA,0,0
DNK,DK,Europe,6.6983132,92,0.008013239,0.000216
DOM,DO,North America,1.012055116,NA,0,0
DZA,DZ,Africa,0.427392218,NA,0,0
ECU,EC,South America,0.639128248,105,0.009145545,0
EGY,EG,Africa,0.42954075,NA,0,0
ESP,ES,Europe,2.935016852,270,0.023517115,0.000216
EST,EE,Europe,2.833262909,NA,0,0.000216
ETH,ET,Africa,0.102758592,NA,0,0
FIN,FI,Europe,5.053662447,46,0.00400662,0.000216
FJI,FJ,Oceania,0.531665839,NA,0,0
FRA,FR,Europe,4.096383734,211,0.01837819,0.000216
FSM,FM,Oceania,0.374105777,NA,0,0
GAB,GA,Africa,0.882034734,NA,0,0
GBR,GB,Europe,4.585042612,361,0.031443254,0.003164
GEO,GE,Asia,0.662770698,NA,0,0
GHA,GH,Africa,0.217585977,NA,0,0
GIN,GN,Africa,0.153165648,NA,0,0
GMB,GM,Africa,0.084001019,NA,0,0
GNB,GW,Africa,0.077582897,NA,0,0
GNQ,GQ,Africa,0.705346709,NA,0,0
GRC,GR,Europe,2.073205222,99,0.008622942,0.000216
GRD,GD,North America,1.001620869,NA,0,0
GTM,GT,North America,0.547320874,NA,0,0
GUY,GY,South America,1.89897902,NA,0,0
HKG,HK,Asia,4.89836238,NA,0,0
HND,HN,North America,0.304017308,NA,0,0
HRV,HR,Europe,1.841323468,NA,0,0.000216
HTI,HT,North America,0.174825713,NA,0,0
HUN,HU,Europe,1.846320852,174,0.015155474,0.000216
IDN,ID,Asia,0.478799931,NA,0,0
IND,IN,Asia,0.23886212,NA,0,0
IRL,IE,Europe,10.40389461,NA,0,0.000216
IRN,IR,Asia,0.438782572,48,0.00418082,0
IRQ,IQ,Asia,0.593719547,NA,0,0
ISL,IS,Europe,7.290297995,NA,0,0.000216
ISR,IL,Asia,5.465975396,NA,0,0
ITA,IT,Europe,3.415799012,153,0.013326365,0.000216
JAM,JM,North America,0.604721646,NA,0,0
JOR,JO,Asia,0.420450564,NA,0,0
JPN,JP,Asia,3.381531727,NA,0,0
KAZ,KZ,Asia,1.124367123,NA,0,0
KEN,KE,Africa,0.209930194,347,0.030223848,0
KGZ,KG,Asia,0.160666808,NA,0,0
KHM,KH,Asia,0.178656082,NA,0,0
KIR,KI,Oceania,0.170197012,NA,0,0
KNA,KN,North America,2.017674758,NA,0,0
KOR,KR,Asia,3.225462472,NA,0,0
