Province,urban populaition,population,KE_UP_2020,Ruggeri_KE_size,Ruggeri_KE
Central,"2,177,847",5481848.829,0.397283301,5,0.041666667
Coast,"1,939,583",4327982.519,0.448149453,7,0.058333333
Eastern,"1,025,466",6809051.206,0.150603362,2,0.016666667
Nairobi,4395749,4395749,1,90,0.75
North Eastern,"658,442",2487235.198,0.264728483,1,0.008333333
Nyanza,"1,008,284",6259750.953,0.16107414,7,0.058333333
Rift Valley,"3,082,533",12751055.68,0.241747278,5,0.041666667
Western,"547,521",5024584.013,0.108968424,3,0.025
