Country Code,Urbanization,country_map,continent,bts,total_bts,percentage_sample,ps,total_ps
AND,87.811,AD,Europe,0,11484,0,33,13646
ARE,87.543,AE,Asia,80,11484,0.006968034,0,13646
AFG,26.616,AF,Asia,0,11484,0,0,13646
ATG,24.346,AG,North America,0,11484,0,0,13646
ALB,63.799,AL,Europe,0,11484,0,33,13646
ARM,63.573,AM,Asia,0,11484,0,0,13646
AGO,68.081,AO,Africa,0,11484,0,0,13646
ARG,92.347,AR,South America,91,11484,0.007926139,0,13646
ASM,87.196,AS,Oceania,0,11484,0,0,13646
AUT,59.256,AT,Europe,236,11484,0.020555701,33,13646
AUS,86.488,AU,Oceania,885,11484,0.077083878,0,13646
ABW,44.052,AW,North America,0,11484,0,0,13646
AZE,57.17,AZ,Asia,0,11484,0,0,13646
BIH,49.841,BA,Europe,0,11484,0,33,13646
BRB,31.324,BB,North America,0,11484,0,0,13646
BGD,39.711,BD,Asia,0,11484,0,0,13646
BEL,98.153,BE,Europe,86,11484,0.007490637,125,13646
BFA,31.877,BF,Africa,0,11484,0,0,13646
BGR,76.363,BG,Europe,0,11484,0,33,13646
BHR,89.743,BH,Asia,0,11484,0,0,13646
BDI,14.417,BI,Africa,0,11484,0,0,13646
BEN,49.534,BJ,Africa,0,11484,0,0,13646
BMU,100,BM,North America,0,11484,0,0,13646
BRN,78.854,BN,Asia,0,11484,0,0,13646
BOL,70.83,BO,South America,0,11484,0,0,13646
BRA,87.555,BR,South America,201,11484,0.017507186,0,13646
BHS,83.492,BS,North America,0,11484,0,0,13646
BTN,43.686,BT,Asia,0,11484,0,0,13646
BWA,72.224,BW,Africa,0,11484,0,0,13646
BLR,80.326,BY,Europe,0,11484,0,33,13646
BLZ,46.396,BZ,North America,0,11484,0,0,13646
CAN,81.752,CA,North America,630,11484,0.054873269,0,13646
COD,46.837,CD,Africa,0,11484,0,0,13646
CAF,43.12,CF,Africa,0,11484,0,0,13646
COG,68.736,CG,Africa,0,11484,0,0,13646
CHE,74.092,CH,Europe,109,11484,0.009493947,54,13646
CIV,52.661,CI,Africa,0,11484,0,0,13646
CHL,87.912,CL,South America,430,11484,0.037453184,0,13646
CMR,58.733,CM,Africa,0,11484,0,0,13646
CHN,63.56,CN,Asia,316,11484,0.027523735,0,13646
COL,82.05,CO,South America,446,11484,0.03884679,0,13646
CRI,82.042,CR,North America,0,11484,0,0,13646
CUB,77.401,CU,North America,0,11484,0,0,13646
CPV,67.545,CV,Africa,0,11484,0,0,13646
CYP,66.911,CY,Asia,0,11484,0,0,13646
CZE,74.377,CZ,Europe,0,11484,0,33,13646
DEU,77.648,DE,Europe,266,11484,0.023168714,192,13646
DJI,78.38,DJ,Africa,0,11484,0,0,13646
DNK,88.367,DK,Europe,92,11484,0.008013239,33,13646
DMA,71.7,DM,North America,0,11484,0,0,13646
DOM,83.848,DO,North America,0,11484,0,0,13646
DZA,74.772,DZ,Africa,0,11484,0,0,13646
ECU,64.57,EC,South America,105,11484,0.009145545,0,13646
EST,69.609,EE,Europe,0,11484,0,33,13646
EGY,42.967,EG,Africa,0,11484,0,0,13646
ERI,42.625,ER,Africa,0,11484,0,0,13646
ESP,81.304,ES,Europe,270,11484,0.023517115,33,13646
ETH,22.661,ET,Africa,0,11484,0,0,13646
FIN,85.681,FI,Europe,46,11484,0.00400662,33,13646
FJI,58.229,FJ,Oceania,0,11484,0,0,13646
FSM,23.217,FM,Oceania,0,11484,0,0,13646
FRO,42.779,FO,Europe,0,11484,0,33,13646
FRA,81.509,FR,Europe,211,11484,0.01837819,33,13646
GAB,90.735,GA,Africa,0,11484,0,0,13646
GBR,84.398,GB,Europe,361,11484,0.031443254,483,13646
GRD,36.868,GD,North America,0,11484,0,0,13646
GEO,60.297,GE,Asia,0,11484,0,0,13646
GHA,58.615,GH,Africa,0,11484,0,0,13646
GIB,100,GI,Europe,0,11484,0,33,13646
GRL,87.727,GL,North America,0,11484,0,0,13646
GMB,63.852,GM,Africa,0,11484,0,0,13646
