Country Code,Urbanization,country_map,continent,bts,total_bts,percentage_sample,ps,total_ps
GIN,37.668,GN,Africa,0,11484,0,0,13646
GNQ,74.01,GQ,Africa,0,11484,0,0,13646
GRC,80.357,GR,Europe,99,11484,0.008622942,33,13646
GTM,52.666,GT,North America,0,11484,0,0,13646
GUM,95.091,GU,Oceania,0,11484,0,0,13646
GNB,45.041,GW,Africa,0,11484,0,0,13646
GUY,27.022,GY,South America,0,11484,0,0,13646
HKG,100,HK,Asia,0,11484,0,0,13646
HND,59.6,HN,North America,0,11484,0,0,13646
HRV,58.219,HR,Europe,0,11484,0,33,13646
HTI,58.82,HT,North America,0,11484,0,0,13646
HUN,72.552,HU,Europe,174,11484,0.015155474,33,13646
IDN,57.934,ID,Asia,0,11484,0,0,13646
IRL,64.183,IE,Europe,0,11484,0,33,13646
ISR,92.763,IL,Asia,0,11484,0,0,13646
IMN,53.271,IM,Europe,0,11484,0,33,13646
IND,35.872,IN,Asia,0,11484,0,0,13646
IRQ,71.354,IQ,Asia,0,11484,0,0,13646
IRN,76.807,IR,Asia,48,11484,0.00418082,0,13646
ISL,93.992,IS,Europe,0,11484,0,33,13646
ITA,71.657,IT,Europe,153,11484,0.013326365,33,13646
JAM,57.008,JM,North America,0,11484,0,0,13646
JOR,91.827,JO,Asia,0,11484,0,0,13646
JPN,91.955,JP,Asia,0,11484,0,0,13646
KEN,29.002,KE,Africa,347,11484,0.030223848,0,13646
KGZ,37.461,KG,Asia,0,11484,0,0,13646
KHM,25.114,KH,Asia,0,11484,0,0,13646
KIR,57.058,KI,Oceania,0,11484,0,0,13646
COM,29.864,KM,Africa,0,11484,0,0,13646
KNA,30.991,KN,North America,0,11484,0,0,13646
PRK,62.916,KP,Asia,0,11484,0,0,13646
KOR,81.427,KR,Asia,0,11484,0,0,13646
KWT,100,KW,Asia,0,11484,0,0,13646
CYM,100,KY,North America,0,11484,0,0,13646
KAZ,57.99,KZ,Asia,0,11484,0,0,13646
LAO,37.592,LA,Asia,0,11484,0,0,13646
LBN,89.262,LB,Asia,0,11484,0,0,13646
LCA,19.05,LC,North America,0,11484,0,0,13646
LIE,14.538,LI,Europe,0,11484,0,33,13646
LKA,19.026,LK,Asia,0,11484,0,0,13646
LBR,53.065,LR,Africa,0,11484,0,0,13646
LSO,29.943,LS,Africa,0,11484,0,0,13646
LTU,68.465,LT,Europe,0,11484,0,33,13646
LUX,91.881,LU,Europe,0,11484,0,33,13646
LVA,68.54,LV,Europe,0,11484,0,33,13646
LBY,81.302,LY,Africa,0,11484,0,0,13646
MAR,64.596,MA,Africa,0,11484,0,0,13646
MCO,100,MC,Europe,0,11484,0,33,13646
MDA,43.173,MD,Europe,0,11484,0,33,13646
MNE,68.164,ME,Europe,0,11484,0,33,13646
MDG,39.882,MG,Africa,0,11484,0,0,13646
MHL,78.52,MH,Oceania,0,11484,0,0,13646
MKD,59.118,MK,Europe,0,11484,0,33,13646
MLI,45.437,ML,Africa,0,11484,0,0,13646
MMR,31.771,MM,Asia,0,11484,0,0,13646
MNG,68.93,MN,Asia,0,11484,0,0,13646
MAC,100,MO,Asia,0,11484,0,0,13646
MNP,91.983,MP,Oceania,0,11484,0,0,13646
MRT,56.923,MR,Africa,0,11484,0,0,13646
MLT,94.875,MT,Europe,0,11484,0,33,13646
MUS,40.81,MU,Africa,0,11484,0,0,13646
MDV,41.536,MV,Asia,0,11484,0,0,13646
MWI,17.98,MW,Africa,0,11484,0,0,13646
MEX,81.3,MX,North America,249,11484,0.021688006,0,13646
MYS,78.214,MY,Asia,281,11484,0.02447522,0,13646
MOZ,38.187,MZ,Africa,0,11484,0,0,13646
NAM,53.956,NA,Africa,0,11484,0,0,13646
NCL,72.325,NC,Oceania,0,11484,0,0,13646
NER,16.894,NE,Africa,0,11484,0,0,13646
NGA,53.521,NG,Africa,43,11484,0.003745318,0,13646
NIC,59.556,NI,North America,0,11484,0,0,13646
NLD,92.886,NL,Europe,356,11484,0.031007752,33,13646
NOR,83.664,NO,Europe,363,11484,0.031617455,33,13646
NPL,21.451,NP,Asia,0,11484,0,0,13646
NRU,100,NR,Oceania,0,11484,0,0,13646
NZL,86.884,NZ,Oceania,159,11484,0.013848968,0,13646
OMN,87.75,OM,Asia,0,11484,0,0,13646
PAN,69.141,PA,North America,0,11484,0,0,13646
PER,78.708,PE,South America,115,11484,0.010016549,0,13646
PYF,62.17,PF,Oceania,0,11484,0,0,13646
PNG,13.582,PG,Oceania,0,11484,0,0,13646
PHL,47.977,PH,Asia,0,11484,0,0,13646
PAK,37.731,PK,Asia,0,11484,0,0,13646
POL,60.134,PL,Europe,36,11484,0.003135615,33,13646
PRI,93.61,PR,North America,76,11484,0.006619632,0,13646
PSE,77.291,PS,Asia,0,11484,0,0,13646
PRT,67.381,PT,Europe,0,11484,0,33,13646
PLW,81.956,PW,Oceania,0,11484,0,0,13646
PRY,62.818,PY,South America,0,11484,0,0,13646
QAT,99.318,QA,Asia,0,11484,0,0,13646
ROU,54.489,RO,Europe,27,11484,0.002351712,33,13646
SRB,56.873,RS,Europe,69,11484,0.006009929,33,13646
RUS,75.126,RU,Europe,240,11484,0.020904102,33,13646
RWA,17.721,RW,Africa,0,11484,0,0,13646
SAU,84.729,SA,Asia,0,11484,0,0,13646
SLB,25.584,SB,Oceania,0,11484,0,0,13646
SYC,58.396,SC,Africa,0,11484,0,0,13646
SDN,35.956,SD,Africa,0,11484,0,0,13646
SWE,88.492,SE,Europe,152,11484,0.013239265,33,13646
SGP,100,SG,Asia,0,11484,0,0,13646
SVN,55.751,SI,Europe,0,11484,0,33,13646
SVK,53.909,SK,Europe,263,11484,0.022907412,33,13646
SLE,43.831,SL,Africa,0,11484,0,0,13646
SMR,97.732,SM,Europe,0,11484,0,33,13646
SEN,49.086,SN,Africa,0,11484,0,0,13646
SOM,47.324,SO,Africa,0,11484,0,0,13646
SUR,66.307,SR,South America,0,11484,0,0,13646
SSD,20.846,SS,Africa,0,11484,0,0,13646
STP,75.755,ST,Africa,0,11484,0,0,13646
SLV,74.767,SV,North America,89,11484,0.007751938,0,13646
SYR,56.769,SY,Asia,0,11484,0,0,13646
SWZ,24.576,SZ,Eswatini,0,11484,0,0,13646
TCA,94.047,TC,North America,0,11484,0,0,13646
TCD,24.063,TD,Africa,0,11484,0,0,13646
TGO,43.921,TG,Africa,0,11484,0,0,13646
THA,52.889,TH,Asia,183,11484,0.015939378,0,13646
TJK,27.968,TJ,Asia,0,11484,0,0,13646
TLS,32.074,TL,Asia,0,11484,0,0,13646
TKM,53.494,TM,Asia,0,11484,0,0,13646
TUN,70.214,TN,Africa,0,11484,0,0,13646
TON,23.125,TO,Oceania,0,11484,0,0,13646
TUR,77.022,TR,Asia,286,11484,0.024910722,0,13646
TTO,53.34,TT,North America,0,11484,0,0,13646
TUV,65.527,TV,Oceania,0,11484,0,0,13646
TZA,36.682,TZ,Africa,0,11484,0,0,13646
UKR,69.919,UA,Europe,0,11484,0,33,13646
UGA,26.159,UG,Africa,0,11484,0,0,13646
USA,83.084,US,North America,2682,11484,0.233603345,6189,13646
URY,95.688,UY,South America,0,11484,0,0,13646
UZB,50.466,UZ,Asia,0,11484,0,0,13646
VCT,53.875,VC,North America,0,11484,0,0,13646
VEN,88.378,VE,South America,0,11484,0,0,13646
VGB,49.331,VG,North America,0,11484,0,0,13646
VIR,96.136,VI,North America,0,11484,0,0,13646
VNM,38.766,VN,Asia,0,11484,0,0,13646
VUT,25.816,VU,Oceania,0,11484,0,0,13646
WSM,17.616,WS,Oceania,0,11484,0,0,13646
YEM,39.188,YE,Asia,0,11484,0,0,13646
ZAF,68.335,ZA,Africa,130,11484,0.011323055,6570,13646
ZMB,45.761,ZM,Africa,0,11484,0,0,13646
ZWE,32.395,ZW,Africa,0,11484,0,0,13646
